Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
53028775,"The Gilded Ones (Deathless, #1)",Namina Forna,"Forna, Namina",,1984848690,9781984848697,0,4.04,Delacorte Press,Hardcover,432,2021,2020,,2022/02/17,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
22590,Ubik,Philip K. Dick,"Dick, Philip K.","David Alabort, Manuel Espín",8498000831,9788498000832,5,4.09,La factoría de ideas,Paperback,288,2006,1969,,2021/11/22,,,read,,,,1,,,0,,,,,
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,,,4,4.1,Harper,Mass Market Paperback,417,2003,1967,,2021/11/22,,,read,,,,1,,,0,,,,,
40382407,Binti: The Complete Trilogy,Nnedi Okorafor,"Okorafor, Nnedi",,,,4,4.09,DAW,Kindle Edition,368,2019,2019,,2022/01/21,,,read,,,,1,,,0,,,,,
567678,The Wasp Factory,Iain Banks,"Banks, Iain",,0684853159,9780684853154,0,3.8,Simon & Schuster (NYC),Paperback,192,1998,1984,,2021/11/22,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
22285,Rant,Chuck Palahniuk,"Palahniuk, Chuck",,0385517874,9780385517874,0,3.83,Doubleday Books,Hardcover,320,2007,2007,,2021/11/22,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
30013,Prelude to Foundation,Isaac Asimov,"Asimov, Isaac",,,,4,4.14,Voyager,Paperback,464,1994,1988,,2021/11/22,,,read,,,,1,,,0,,,,,
37588679,Eight Dates: Essential Conversations for a Lifetime of Love,John M. Gottman,"Gottman, John M.","約翰·高特曼, Douglas Carlton Abrams, 陳岡伯",1523504463,9781523504466,0,4.21,Workman Publishing Company,Hardcover,224,2019,2019,,2021/11/22,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
44439415,"God Emperor of Dune (Dune Chronicles, #4)",Frank Herbert,"Herbert, Frank",Brian Herbert,0593098250,9780593098257,0,3.87,Ace Books,Paperback,587,2019,1981,,2021/11/22,,,read,,,,1,,,0,,,,,
44492286,"Children of Dune (Dune Chronicles, #3)",Frank Herbert,"Herbert, Frank",Brian Herbert,0593098242,9780593098240,0,3.95,Ace Books,Paperback,609,2019,1976,,2021/11/22,,,read,,,,1,,,0,,,,,
